org_name,recipient_id,demo_year,state,service_area__c,service_area_type__c,Groups,Men,Other_gender,Unknown_gender,Women,age_0_17,age_18_35,age_18_59,age_36_59,age_60_and_Over,Unknown_age,Asian,Black,Hispanic,Native_American,Other_ethnicity,Unknown_ethnicity,White,Non_Veteran,Unknown_veteran,Veteran,Asian_0_17,Asian_18_35,Asian_18_59,Asian_36_59,Asian_60 and Over,Asian_Unknown,Black_0_17,Black_18_35,Black_18_59,Black_36_59,Black_60 and Over,Black_Unknown,Hispanic_0_17,Hispanic_18_35,Hispanic_18_59,Hispanic_36_59,Hispanic_60 and Over,Hispanic_Unknown,Native American_0_17,Native American_18_35,Native American_18_59,Native American_36_59,Native American_60 and Over,Native American_Unknown,Other_0_17,Other_18_35,Other_18_59,Other_36_59,Other_60 and Over,Other_Unknown,Unknown_0_17,Unknown_18_35,Unknown_36_59,Unknown_60 and Over,Unknown_Unknown,White_0_17,White_18_35,White_18_59,White_36_59,White_60 and Over,White_Unknown
Acadiana Legal Service Corporation,619051,2008,LA,LA-10,Basic Field,0,990,NA,NA,3511,81,NA,3923,NA,497,NA,16,2244,47,16,15,NA,2163,NA,NA,NA,0,NA,15,NA,1,NA,45,NA,1949,NA,250,NA,1,NA,41,NA,5,NA,0,NA,15,NA,1,NA,0,NA,15,NA,0,NA,NA,NA,NA,NA,NA,35,NA,1888,NA,240,NA
Acadiana Legal Service Corporation,619051,2009,LA,LA-10,Basic Field,0,901,NA,NA,2648,51,NA,3060,NA,438,NA,14,1844,41,13,26,NA,1611,NA,NA,NA,0,NA,12,NA,2,NA,40,NA,1601,NA,203,NA,0,NA,37,NA,4,NA,0,NA,12,NA,1,NA,0,NA,25,NA,1,NA,NA,NA,NA,NA,NA,11,NA,1373,NA,227,NA
Acadiana Legal Service Corporation,619051,2010,LA,LA-10,Basic Field,2,1018,NA,NA,3023,238,NA,3395,NA,409,NA,11,2022,38,6,55,NA,1910,NA,NA,NA,0,NA,9,NA,2,NA,107,NA,1705,NA,210,NA,1,NA,35,NA,2,NA,2,NA,4,NA,NA,NA,26,NA,26,NA,3,NA,NA,NA,NA,NA,NA,102,NA,1616,NA,192,NA
Acadiana Legal Service Corporation,619051,2011,LA,LA-10,Basic Field,0,1071,NA,NA,2821,238,NA,3262,NA,395,NA,12,1983,48,7,44,NA,1801,NA,NA,NA,0,NA,11,NA,1,NA,124,NA,1684,NA,175,NA,2,NA,40,NA,6,NA,0,NA,5,NA,2,NA,10,NA,32,NA,2,NA,NA,NA,NA,NA,NA,102,NA,1490,NA,209,NA
Acadiana Legal Service Corporation,619051,2012,LA,LA-10,Basic Field,0,981,NA,NA,2739,348,NA,2932,NA,440,NA,11,1947,37,5,30,NA,1690,3645,NA,75,2,NA,8,NA,1,NA,168,NA,1546,NA,233,NA,3,NA,30,NA,4,NA,0,NA,4,NA,1,NA,13,NA,17,NA,0,NA,NA,NA,NA,NA,NA,162,NA,1327,NA,201,NA
Acadiana Legal Service Corporation,619051,2013,LA,LA-10,Basic Field,1,955,NA,NA,2447,489,NA,2519,NA,394,NA,11,1729,41,7,53,NA,1561,3351,NA,51,0,NA,11,NA,0,NA,184,NA,1317,NA,228,NA,9,NA,32,NA,0,NA,0,NA,6,NA,1,NA,32,NA,18,NA,3,NA,NA,NA,NA,NA,NA,264,NA,1135,NA,162,NA
Acadiana Legal Service Corporation,619051,2014,LA,LA-10,Basic Field,0,950,NA,NA,2321,568,1146,NA,1205,352,NA,11,1660,49,2,35,NA,1514,3214,NA,57,0,3,NA,4,4,NA,212,553,NA,698,197,NA,2,19,NA,23,5,NA,0,0,NA,1,1,NA,25,4,NA,6,0,NA,NA,NA,NA,NA,NA,329,567,NA,473,145,NA
Acadiana Legal Service Corporation,619051,2015,LA,LA-10,Basic Field,0,969,3,NA,2311,676,1100,NA,1129,378,NA,10,1751,38,7,61,NA,1416,3254,NA,29,1,5,NA,3,1,NA,286,588,NA,656,221,NA,3,19,NA,14,2,NA,0,3,NA,4,0,NA,41,15,NA,4,1,NA,NA,NA,NA,NA,NA,345,470,NA,448,153,NA
Acadiana Legal Service Corporation,619051,2016,LA,LA-10,Basic Field,0,903,5,NA,2138,598,952,NA,1101,395,NA,15,1584,38,13,48,NA,1348,2997,NA,49,1,8,NA,5,1,NA,249,507,NA,614,214,NA,9,14,NA,12,3,NA,1,1,NA,8,3,NA,33,8,NA,6,1,NA,NA,NA,NA,NA,NA,305,414,NA,456,173,NA
Acadiana Legal Service Corporation,619051,2017,LA,LA-10,Basic Field,NA,1034,0,0,2088,632,905,NA,1125,460,0,13,1669,28,8,65,0,1339,3073,0,49,0,4,NA,8,1,0,274,506,NA,648,241,0,4,11,NA,11,2,0,1,4,NA,1,2,0,39,8,NA,12,6,0,0,0,0,0,0,314,372,NA,445,208,0
Acadiana Legal Service Corporation,619051,2017,LA,LA-11,Basic Field,NA,698,0,0,1816,238,828,NA,1057,391,0,5,1456,9,12,52,0,980,2381,0,133,1,1,NA,3,0,0,99,456,NA,648,253,0,0,4,NA,5,0,0,0,4,NA,6,2,0,45,4,NA,3,0,0,0,0,0,0,0,93,359,NA,392,136,0
Alaska Legal Services Corporation,902000,2008,AK,AK-1,Basic Field,0,211,NA,NA,547,3,NA,621,NA,134,NA,21,70,35,12,36,NA,584,NA,NA,NA,0,NA,17,NA,4,NA,0,NA,57,NA,13,NA,0,NA,31,NA,4,NA,1,NA,7,NA,4,NA,0,NA,31,NA,5,NA,NA,NA,NA,NA,NA,2,NA,478,NA,104,NA
Alaska Legal Services Corporation,902000,2008,AK,NAK-1,Native American,3,178,NA,NA,382,4,NA,433,NA,123,NA,0,0,0,560,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,NA,433,NA,123,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
Alaska Legal Services Corporation,902000,2009,AK,AK-1,Basic Field,0,265,NA,NA,622,1,NA,678,NA,208,NA,28,87,49,0,66,NA,657,NA,NA,NA,0,NA,21,NA,7,NA,0,NA,79,NA,8,NA,0,NA,41,NA,8,NA,0,NA,0,NA,0,NA,0,NA,46,NA,20,NA,NA,NA,NA,NA,NA,1,NA,491,NA,165,NA
Alaska Legal Services Corporation,902000,2009,AK,NAK-1,Native American,2,153,NA,NA,438,2,NA,455,NA,134,NA,0,0,0,591,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,455,NA,134,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
Alaska Legal Services Corporation,902000,2010,AK,AK-1,Basic Field,0,291,NA,NA,593,0,NA,686,NA,198,NA,31,104,54,0,80,NA,615,NA,NA,NA,0,NA,22,NA,9,NA,0,NA,88,NA,16,NA,0,NA,46,NA,8,NA,0,NA,0,NA,0,NA,0,NA,56,NA,24,NA,NA,NA,NA,NA,NA,0,NA,474,NA,141,NA
Alaska Legal Services Corporation,902000,2010,AK,NAK-1,Native American,5,177,NA,NA,415,2,NA,455,NA,135,NA,0,0,0,592,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,455,NA,135,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
Alaska Legal Services Corporation,902000,2011,AK,AK-1,Basic Field,1,293,NA,NA,630,4,NA,734,NA,185,NA,31,106,59,0,67,NA,660,NA,NA,NA,0,NA,19,NA,12,NA,0,NA,91,NA,15,NA,2,NA,51,NA,6,NA,0,NA,0,NA,0,NA,0,NA,54,NA,13,NA,NA,NA,NA,NA,NA,2,NA,519,NA,139,NA
