org_name,recipient_id,grant_year,state,service_area__c,service_area_type__c,lsc_expenditures__c_Audit_Non_Personnel_Expenses,lsc_expenditures__c_Contract_Services_to_Clients_Non_Personnel_Expenses,lsc_expenditures__c_Contract_Services_to_Recipient_Non_Personnel_Expenses,lsc_expenditures__c_Dues_and_Fees_Non_Personnel_Expenses,lsc_expenditures__c_Employee_Benefits_Personnel_Expenses,lsc_expenditures__c_Equipment_Rental_Non_Personnel_Expenses,lsc_expenditures__c_Insurance_Non_Personnel_Expenses,lsc_expenditures__c_Lawyers_Wages_Personnel_Expenses,lsc_expenditures__c_Library_Non_Personnel_Expenses,lsc_expenditures__c_Litigation_Non_Personnel_Expenses,lsc_expenditures__c_Mortgage_Payments_Non_Personnel_Expenses,lsc_expenditures__c_Office_Supplies_Non_Personnel_Expenses,lsc_expenditures__c_Other_Non_Personnel_Expenses,lsc_expenditures__c_Other_Space_Expense_Non_Personnel_Expenses,lsc_expenditures__c_Other_Staff_Wages_Personnel_Expenses,lsc_expenditures__c_Paralegals_Wages_Personnel_Expenses,lsc_expenditures__c_Property_Acquisition_Non_Personnel_Expenses,lsc_expenditures__c_Purchase_Payments_Non_Personnel_Expenses,lsc_expenditures__c_Space_Rent_Lease_Non_Personnel_Expenses,lsc_expenditures__c_Telephone_Non_Personnel_Expenses,lsc_expenditures__c_Training_Board_Non_Personnel_Expenses,lsc_expenditures__c_Training_Staff_Other_Non_Personnel_Expenses,lsc_expenditures__c_Travel_Board_Non_Personnel_Expenses,lsc_expenditures__c_Travel_Staff_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Audit_Non_Personnel_Expenses,non_lsc_expenditures__c_Contract_Services_to_Clients_Non_Personnel_Expenses,non_lsc_expenditures__c_Contract_Services_to_Recipient_Non_Personnel_Expenses,non_lsc_expenditures__c_Dues_and_Fees_Non_Personnel_Expenses,non_lsc_expenditures__c_Employee_Benefits_Personnel_Expenses,non_lsc_expenditures__c_Equipment_Rental_Non_Personnel_Expenses,non_lsc_expenditures__c_Insurance_Non_Personnel_Expenses,non_lsc_expenditures__c_Lawyers_Wages_Personnel_Expenses,non_lsc_expenditures__c_Library_Non_Personnel_Expenses,non_lsc_expenditures__c_Litigation_Non_Personnel_Expenses,non_lsc_expenditures__c_Mortgage_Payments_Non_Personnel_Expenses,non_lsc_expenditures__c_Office_Supplies_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Space_Expense_Non_Personnel_Expenses,non_lsc_expenditures__c_Other_Staff_Wages_Personnel_Expenses,non_lsc_expenditures__c_Paralegals_Wages_Personnel_Expenses,non_lsc_expenditures__c_Property_Acquisition_Non_Personnel_Expenses,non_lsc_expenditures__c_Purchase_Payments_Non_Personnel_Expenses,non_lsc_expenditures__c_Space_Rent_Lease_Non_Personnel_Expenses,non_lsc_expenditures__c_Telephone_Non_Personnel_Expenses,non_lsc_expenditures__c_Training_Board_Non_Personnel_Expenses,non_lsc_expenditures__c_Training_Staff_Other_Non_Personnel_Expenses,non_lsc_expenditures__c_Travel_Board_Non_Personnel_Expenses,non_lsc_expenditures__c_Travel_Staff_Other_Non_Personnel_Expenses,Total_lsc_expenditures__c,Total_non_lsc_expenditures__c,Total_lsc_nonlsc_expenditures__c,Total_Personnel_Expenses,Total_Non_Personnel_Expenses
Acadiana Legal Service Corporation,619051,2008,LA,LA-10,Basic Field,18921,64981,12500,5377,271256,15189,42678,417519,36104,0,0,50762,16587,67186,451319,258652,16207,12348,57125,62525,10601,42635,1494,26072,2079,18041,0,11404,91874,4445,3425,330899,594,6558,20000,6610,891,3837,4829,111109,0,0,5297,11978,0,185,0,6163,1958038,640218,2598256,1937457,660799
Acadiana Legal Service Corporation,619051,2009,LA,LA-10,Basic Field,22397,52665,14922,5767,322351,21523,44313,468110,43545,1069,7717,38656,1785,102649,508379,228988,13835,827,65316,69928,6994,48571,1603,29862,1304,28657,0,11704,87714,2225,1375,401347,569,4913,0,3635,910,52777,34142,101037,1379,0,2211,6920,0,285,0,7093,2121772,750197,2871969,2152068,719901
Acadiana Legal Service Corporation,619051,2010,LA,LA-10,Basic Field,21709,48056,16547,3321,372942,17905,40417,564725,47552,0,0,61787,6070,59437,511163,326337,22168,735,74352,45265,453,58401,883,37853,1991,133344,0,15004,113281,1180,3025,518368,2219,5013,0,11414,3675,610,106353,103400,12812,0,43401,21701,0,8419,0,26823,2338078,1132033,3470111,2616569,853542
Acadiana Legal Service Corporation,619051,2011,LA,LA-10,Basic Field,20619,54641,15840,4286,368396,15448,36846,534851,54265,1706,0,50575,763,75368,500661,327457,39608,0,40128,42941,0,29160,1134,29201,3881,169579,0,13445,139190,3625,6473,559757,6037,4736,23444,13266,1484,610,95890,124829,4127,1470,16878,20390,0,10820,0,34947,2243894,1254878,3498772,2651031,847741
Acadiana Legal Service Corporation,619051,2012,LA,LA-10,Basic Field,15474,46638,30023,5260,369408,19887,28457,473053,43735,0,26779,37325,532,63696,417331,346169,2746,0,33189,41448,0,16411,1000,26067,6026,140566,0,14136,109542,1967,10813,527534,11077,4084,0,14716,1447,297,63082,119986,3015,1470,17453,18865,0,24554,0,29433,2044628,1120063,3164691,2426105,738586
Acadiana Legal Service Corporation,619051,2013,LA,LA-10,Basic Field,13747,51073,24200,4184,326881,10478,24771,260410,26499,1015,1256,29016,9,73655,372991,309675,9051,3641,26960,36096,1297,23598,1784,23195,7753,125958,1800,15524,131524,4813,14371,699668,15384,4750,25000,19715,2936,297,108403,175162,4932,736,25629,21120,0,5427,0,38594,1655482,1449496,3104978,2384714,720264
Acadiana Legal Service Corporation,619051,2014,LA,LA-10,Basic Field,23500,49908,29828,1966,281541,11323,30821,242196,24880,188,0,30021,1755,79475,320493,264525,17276,2419,29351,21826,3963,27605,2288,22636,21500,151001,0,16214,149434,5346,16355,679948,16179,4595,24686,21563,1591,611,113813,177226,3135,0,23317,21298,0,5185,0,44996,1519784,1497993,3017777,2229176,788601
Acadiana Legal Service Corporation,619051,2015,LA,LA-10,Basic Field,20231,52692,21214,4583,289129,19242,28728,142672,30766,173,7926,25158,147,43109,318294,215465,12701,2852,52083,10538,2202,28469,2449,18463,14519,124349,15657,8566,134668,1630,17331,738413,16851,3321,16760,23103,2273,29123,105851,228626,2121,0,600,19067,0,22391,0,47526,1349286,1572746,2922032,2173118,748914
Acadiana Legal Service Corporation,619051,2016,LA,LA-10,Basic Field,18259,47677,44044,4014,193923,20339,32557,211197,16679,3802,22390,23505,818,61767,235451,268414,15526,3210,18607,11803,3197,28815,2492,17373,7491,133729,6802,12662,144208,1716,14371,626746,13386,1049,0,18543,916,13933,143381,168422,9913,0,28390,15845,0,24067,0,50754,1305859,1436324,2742183,1991742,750441
Acadiana Legal Service Corporation,619051,2017,LA,LA-10,Basic Field,10108,49061,9937,4546,369885,15503,12289,265323,16734,2638,114689,27808,1867,45754,392698,302953,56362,3264,32859,9468,1596,15768,2131,17503,11642,83181,5228,12952,117528,6566,22400,698392,13288,3844,0,14615,2724,29769,182871,141036,40665,0,13896,18301,0,21336,0,50769,1780744,1491003,3271747,2470686,801061
