org_name,recipient_id,grant_year,state,service_area__c,service_area_type__c,Attorney_Fee_Awards_LSC,Basic_Field_LSC,Carryover_Funds_LSC,Interest_Investment__Other_Income_LSC,Interest_Investment_Income_LSC,Publication_Income_LSC,Other_Grants_i.e._TIG_Disaster_LSC,Other_Funds_LSC,Attorney_Fee_Awards_NonLSC,Bar_Association_Grants_NonLSC,Carryover_Funds_NonLSC,Community_Development_Block_Grants_NonLSC,Corporate_and_Individual_Contributions_NonLSC,Cy_Pres_Awards_NonLSC,Filing_and_Other_Fees_NonLSC,Filing_Fees_NonLSC,Foundation_Grants_NonLSC,General_State_Grants_NonLSC,HHS_Grants_NonLSC,HUD_Grants_NonLSC,IOLTA_Grants_NonLSC,Local_Grants_NonLSC,Older_Americans_Act_NonLSC,Other_Federal_Grants_NonLSC,Private_Foundation_Grants_NonLSC,Publication_Income_NonLSC,Specific_State_Grants_and_Contracts_NonLSC,State_Grants_NonLSC,Title_XX_of_Social_Security_Act_NonLSC,United_Way_Grants_NonLSC,Violence_Against_Women_Act_NonLSC,Other_Funds_NonLSC,Gross_Fees_and_Receipts_from_Client_Services_Client_Service_Income,Other_Income_Earned_in_ForProfit_Activities_Client_Service_Income,Total_Client_Service_Income,Total_LSC_Funds,Total_NonLSC_Funds,Total_LSC_NonLSC_Funds
Acadiana Legal Service Corporation,619051,2008,LA,LA-10,Basic Field,0,1944899,109901,NA,6496,0,NA,20888,0,10675,0,0,NA,NA,NA,NA,20000,NA,NA,NA,274411,42763,64177,0,NA,0,NA,187842,0,20000,0,20000,0,0,0,2082184,639868,2722052
Acadiana Legal Service Corporation,619051,2009,LA,LA-10,Basic Field,0,2140390,165215,NA,2404,0,NA,67412,0,213137,0,0,NA,NA,NA,NA,6667,NA,NA,NA,341716,52979,64176,0,NA,0,NA,68000,0,0,0,176,0,0,0,2375421,746851,3122272
Acadiana Legal Service Corporation,619051,2010,LA,LA-10,Basic Field,4154,2311062,261996,NA,2973,0,NA,0,4438,0,0,0,NA,NA,NA,61641,651976,NA,NA,NA,312000,12000,67780,0,NA,0,NA,12500,0,0,0,17122,0,0,0,2580185,1139457,3719642
Acadiana Legal Service Corporation,619051,2011,LA,LA-10,Basic Field,12295,2215527,271395,NA,2039,0,NA,8336,0,0,0,0,NA,NA,NA,56436,678822,NA,NA,NA,312000,37450,61331,0,NA,0,NA,12500,0,0,0,1551,0,0,0,2509592,1160090,3669682
Acadiana Legal Service Corporation,619051,2012,LA,LA-10,Basic Field,14906,1890736,167076,NA,1863,0,NA,13271,0,0,0,NA,0,0,55607,NA,NA,22875,0,0,296670,4000,57519,0,742650,0,0,NA,NA,0,0,4868,0,0,0,2087852,1184189,3272041
Acadiana Legal Service Corporation,619051,2013,LA,LA-10,Basic Field,22827,1700539,114209,2979,NA,0,8336,NA,0,0,0,NA,0,0,53861,NA,NA,12656,0,0,282517,8000,61247,0,993900,0,0,NA,NA,0,0,18015,0,0,0,1848890,1430196,3279086
Acadiana Legal Service Corporation,619051,2014,LA,LA-10,Basic Field,4144,1441264,91473,3918,NA,0,0,NA,0,0,0,NA,0,0,51861,NA,NA,0,0,0,283651,8000,68738,0,1081600,0,0,NA,NA,0,0,29,0,0,0,1540799,1493879,3034678
Acadiana Legal Service Corporation,619051,2015,LA,LA-10,Basic Field,9788,1471883,8264,5359,NA,0,22921,NA,0,0,0,NA,0,0,51303,NA,NA,0,0,0,304304,5000,75000,0,1137137,0,0,NA,NA,0,0,4039,0,0,0,1518215,1576783,3094998
Acadiana Legal Service Corporation,619051,2016,LA,LA-10,Basic Field,0,1489035,62025,6227,NA,0,0,NA,0,0,97577,NA,0,14893,52851,NA,NA,0,0,0,366215,15000,77038,0,849207,0,0,NA,NA,0,0,3646,0,0,0,1557287,1476427,3033714
Acadiana Legal Service Corporation,619051,2017,LA,LA-10,Basic Field,0,1474467,201787,7002,NA,0,0,NA,0,854796,0,NA,0,0,119897,NA,NA,0,0,0,520212,21500,80819,0,0,0,0,NA,NA,0,0,406,0,0,0,1683256,1597630,3280886
Acadiana Legal Service Corporation,619051,2017,LA,LA-11,Basic Field,0,1472847,0,648,NA,0,0,NA,0,622756,0,NA,0,0,28245,NA,NA,0,0,0,433660,0,65982,0,1098,0,0,NA,NA,0,0,0,0,0,0,1473495,1151741,2625236
Alaska Legal Services Corporation,902000,2008,AK,AK-1,Basic Field,0,720614,63651,NA,323,0,NA,0,0,414,57819,57952,NA,NA,NA,NA,0,NA,NA,NA,61063,22013,117107,43642,NA,0,NA,598852,0,1438,153959,83919,0,0,0,784588,1198178,1982766
Alaska Legal Services Corporation,902000,2009,AK,AK-1,Basic Field,0,793046,46208,NA,123,0,NA,0,0,738,3676,60000,NA,NA,NA,NA,9000,NA,NA,NA,65138,22004,109032,158505,NA,0,NA,809736,0,985,120199,100051,0,0,0,839377,1459064,2298441
